B2B,StockCode,Rev,Qty,AWP,ModeQty,MeanQty
0.0,11001,1.69,1,1.69,1,1
0.0,15036,369.96,612,0.6045098039215686,153,153
0.0,15039,18.7,22,0.85,11,11
0.0,15044A,5.9,2,2.95,2,2
0.0,15044B,8.850000000000001,3,2.9500000000000006,1,1
0.0,15044C,2.95,1,2.95,1,1
0.0,15044D,38.35,13,2.95,6,6
0.0,15056BL,136.85000000000002,23,5.950000000000001,2,2
0.0,15056N,154.70000000000002,26,5.950000000000001,3,3
0.0,15056P,17.85,3,5.95,3,3
0.0,15058A,7.95,1,7.95,1,1
0.0,15058B,7.95,1,7.95,1,1
0.0,15058C,47.7,6,7.95,3,3
0.0,15060B,15.0,4,3.75,4,4
0.0,16008,0.5,2,0.25,2,2
0.0,16011,0.84,4,0.21,4,4
0.0,16014,0.42,1,0.42,1,1
0.0,16015,0.5,1,0.5,1,1
0.0,16016,1.7,2,0.85,2,2
0.0,16043,2.88,24,0.12,24,24
0.0,18094C,1.25,1,1.25,1,1
0.0,18097C,10.2,4,2.55,4,4
0.0,20616,0.75,1,0.75,1,1
0.0,20652,2.5,2,1.25,2,2
0.0,20679,95.2,16,5.95,2,2
0.0,20682,3.25,1,3.25,1,1
0.0,20685,99.3,14,7.0928571428571425,4,4
0.0,20686,3.25,1,3.25,1,1
0.0,20696,3.75,1,3.75,1,1
0.0,20702,4.25,1,4.25,1,1
0.0,20712,4.16,2,2.08,2,2
0.0,20717,25.0,20,1.25,10,10
0.0,20718,13.75,11,1.25,5,5
0.0,20719,1.7,2,0.85,2,2
0.0,20723,9.35,11,0.85,5,5
0.0,20725,8.25,5,1.65,5,5
0.0,20726,4.949999999999998,3,1.6499999999999995,3,3
0.0,20727,39.599999999999994,24,1.6499999999999997,8,8
0.0,20728,4.949999999999998,3,1.6499999999999995,3,3
0.0,20735,0.85,1,0.85,1,1
0.0,20749,47.7,6,7.95,2,2
0.0,20750,63.6,8,7.95,1,1
0.0,20780,10.98,2,5.49,1,1
0.0,20781,10.98,2,5.49,1,1
0.0,20793,6.75,1,6.75,1,1
0.0,20802,4.949999999999998,3,1.6499999999999995,3,3
0.0,20819,3.75,1,3.75,1,1
0.0,20828,2.55,1,2.55,1,1
0.0,20829,2.1,1,2.1,1,1
0.0,20837,35.40000000000001,12,2.950000000000001,12,12
0.0,20856,1.65,1,1.65,1,1
0.0,20914,17.7,6,2.9499999999999997,1,1
0.0,20967,18.75,5,3.75,2,2
0.0,20969,63.75,17,3.75,4,4
0.0,20970,48.75,13,3.75,4,4
0.0,20971,22.5,18,1.25,6,6
0.0,20972,16.25,13,1.25,6,6
0.0,20978,1.25,1,1.25,1,1
0.0,20979,10.0,8,1.25,8,8
0.0,20981,0.85,1,0.85,1,1
0.0,21001,17.85,3,5.95,3,3
0.0,21034,19.95,21,0.95,1,1
0.0,21035,39.0,12,3.25,12,12
0.0,21043,1.95,1,1.95,1,1
0.0,21051,2.1,1,2.1,1,1
0.0,21055,8.95,1,8.95,1,1
0.0,21059,0.85,1,0.85,1,1
0.0,21069,7.5,6,1.25,6,6
0.0,21086,1.95,3,0.65,3,3
0.0,21098,1.25,1,1.25,1,1
0.0,21109,13.5,2,6.75,2,2
0.0,21110,20.25,3,6.75,1,1
0.0,21111,35.40000000000001,12,2.950000000000001,12,12
0.0,21115,27.0,4,6.75,4,4
0.0,21122,7.5,6,1.25,2,2
0.0,21124,5.0,4,1.25,2,2
0.0,21126,1.25,1,1.25,1,1
0.0,21129,6.95,1,6.95,1,1
0.0,21131,4.25,1,4.25,1,1
0.0,21135,15.209999999999999,9,1.69,4,4
0.0,21136,27.04,16,1.69,8,8
0.0,21137,78.75,21,3.75,7,7
0.0,21154,25.0,20,1.25,20,20
0.0,21164,2.95,1,2.95,1,1
0.0,21165,3.38,2,1.69,2,2
0.0,21166,4.16,2,2.08,2,2
0.0,21169,1.69,1,1.69,1,1
0.0,21171,2.9,2,1.45,2,2
0.0,21172,24.65,17,1.45,8,8
0.0,21174,2.08,1,2.08,1,1
0.0,21175,5.1,2,2.55,2,2
0.0,21181,8.4,4,2.1,1,1
0.0,21200,39.6,24,1.6500000000000001,24,24
0.0,21208,4.68,12,0.38999999999999996,12,12
0.0,21210,17.4,12,1.45,12,12
0.0,21211,17.4,12,1.45,12,12
0.0,21217,29.849999999999998,3,9.95,1,1
