,StockCode,Rev,Qty,AWP,ModeQty
0,10002,699.5500000000002,823,0.8500000000000002,16
1,10080,114.41000000000001,291,0.39316151202749144,13
2,10120,40.530000000000015,193,0.21000000000000008,6
3,10123C,3.25,5,0.65,1
4,10124A,6.72,16,0.42,3
5,10124G,7.14,17,0.42,4
6,10125,930.3000000000002,1226,0.7588091353996739,19
7,10133,876.8699999999998,1839,0.4768189233278955,21
8,10135,1785.44,1937,0.9217552916881776,15
9,11001,774.0200000000001,458,1.6900000000000002,12
10,15030,41.46999999999999,143,0.2899999999999999,11
11,15034,315.4200000000003,2493,0.1265222623345368,42
12,15036,9649.290000000005,13211,0.7303981530542732,64
13,15039,1111.0500000000004,1533,0.724755381604697,20
14,15044A,1245.3300000000008,427,2.916463700234194,5
15,15044B,525.75,185,2.841891891891892,5
16,15044C,774.3500000000003,269,2.878624535315986,4
17,15044D,1307.45,479,2.7295407098121087,9
18,15056BL,14566.17,2649,5.498742921857304,8
19,15056N,20430.660000000003,3781,5.403507008727851,9
20,15056P,2652.2,476,5.571848739495798,5
21,15058A,536.5499999999998,69,7.776086956521737,2
22,15058B,828.8999999999997,110,7.535454545454543,2
23,15058C,894.3499999999999,193,4.633937823834197,6
24,15060B,1479.12,410,3.6076097560975606,4
25,16008,360.70999999999987,2892,0.12472683264177035,41
26,16010,3.5999999999999996,30,0.11999999999999998,10
27,16011,372.3300000000002,1773,0.21000000000000013,37
28,16012,261.2399999999999,1244,0.2099999999999999,33
29,16014,4335.76,13328,0.32531212484994,246
30,16015,289.98,662,0.43803625377643507,27
31,16016,1053.45,1273,0.8275333857030637,19
32,16020C,5.1,6,0.85,3
33,16033,100.80000000000001,840,0.12000000000000001,210
34,16043,11.759999999999998,98,0.11999999999999998,49
35,16045,380.0,8900,0.04269662921348315,128
36,16046,56.95,67,0.8500000000000001,4
37,16048,186.83999999999992,1437,0.13002087682672228,29
38,16049,82.08,504,0.16285714285714287,100
39,16052,105.28999999999999,467,0.22546038543897215,77
40,16054,82.56,688,0.12000000000000001,40
41,16151A,61.25,49,1.25,16
42,16156L,199.5,475,0.42,26
43,16156S,2331.0,5800,0.4018965517241379,34
44,16161G,70.0,700,0.1,31
45,16161M,10.5,25,0.42,25
46,16161P,1825.5,4375,0.4172571428571429,27
47,16161U,1677.0,4050,0.4140740740740741,30
48,16162L,11.05,17,0.65,2
49,16162M,10.92,26,0.42,3
50,16168M,138.18,329,0.42000000000000004,16
51,16169E,1325.04,3212,0.4125280199252802,30
52,16169K,84.0,200,0.42,25
53,16169M,277.2,660,0.42,25
54,16169N,10.5,25,0.42,25
55,16169P,21.0,50,0.42,25
56,16202A,3.5,7,0.5,3
57,16202B,14.5,29,0.5,14
58,16202E,6.5,13,0.5,6
59,16206B,8.75,7,1.25,3
60,16207A,38.35000000000001,13,2.9500000000000006,2
61,16207B,11.310000000000002,4,2.8275000000000006,1
62,16216,227.1400000000001,3316,0.06849819059107361,80
63,16218,253.20000000000013,3760,0.06734042553191492,75
64,16219,247.98,2003,0.12380429355966051,69
65,16225,599.34,762,0.7865354330708662,9
66,16235,525.5400000000002,2664,0.19727477477477484,32
67,16236,266.56,1296,0.205679012345679,17
68,16237,402.9300000000003,1933,0.20844800827728935,18
69,16238,265.51,1261,0.21055511498810467,15
70,16244B,7.85,7,1.1214285714285714,3
71,16248B,16.25,13,1.25,1
72,16254,27.910000000000004,31,0.9003225806451615,3
73,16258A,156.11000000000004,444,0.3515990990990992,11
74,16259,209.35999999999996,2266,0.09239187996469549,119
75,17001,20.88,72,0.29,72
76,17003,5807.250000000001,22960,0.2529290069686412,108
77,17007B,50.40000000000001,24,2.1000000000000005,12
78,17011F,62.14999999999999,80,0.7768749999999999,13
79,17012A,244.90000000000003,270,0.9070370370370372,10
80,17012B,422.5500000000001,455,0.928681318681319,12
81,17012C,344.3500000000001,363,0.9486225895316807,8
82,17012D,366.35,387,0.946640826873385,8
83,17012E,52.05,59,0.8822033898305084,14
84,17012F,329.05000000000007,365,0.9015068493150686,8
85,17013D,257.88,532,0.48473684210526313,48
86,17014A,67.83000000000001,154,0.44045454545454554,22
87,17021,643.1400000000001,2427,0.26499381953028434,42
88,17028J,2.52,6,0.42,6
