StockCode,Rev,Qty,AWP,MeanQty
10002,699.5500000000002,823,0.8500000000000002,16
10080,114.41000000000001,291,0.39316151202749144,13
10120,40.530000000000015,193,0.21000000000000008,6
10123C,3.25,5,0.65,1
10124A,6.72,16,0.42,3
10124G,7.14,17,0.42,4
10125,930.3000000000002,1226,0.7588091353996739,19
10133,902.0699999999997,1899,0.4750236966824643,22
10135,1785.44,1937,0.9217552916881776,15
11001,1281.62,810,1.5822469135802468,16
15030,41.46999999999999,143,0.2899999999999999,11
15034,318.7800000000003,2517,0.12665077473182373,42
15036,11722.290000000005,16247,0.7215048932110546,76
15039,1111.0500000000004,1533,0.724755381604697,20
15044A,1245.3300000000008,427,2.916463700234194,5
15044B,525.75,185,2.841891891891892,5
15044C,774.3500000000003,269,2.878624535315986,4
15044D,1313.24,480,2.7359166666666668,9
15056BL,14566.17,2649,5.498742921857304,8
15056N,20430.660000000007,3781,5.403507008727852,9
15056P,2676.56,479,5.587807933194155,5
15058A,552.4499999999998,71,7.7809859154929555,2
15058B,828.8999999999997,110,7.535454545454543,2
15058C,894.3499999999999,193,4.633937823834197,6
15060B,1479.12,410,3.6076097560975606,4
16008,360.70999999999987,2892,0.12472683264177035,41
16010,3.5999999999999996,30,0.11999999999999998,10
16011,372.3300000000002,1773,0.21000000000000013,37
16012,261.2399999999999,1244,0.2099999999999999,33
16014,4335.76,13328,0.32531212484994,246
16015,289.98,662,0.43803625377643507,27
16016,1053.45,1273,0.8275333857030637,19
16020C,5.1,6,0.85,3
16033,100.80000000000001,840,0.12000000000000001,210
16043,11.759999999999998,98,0.11999999999999998,49
16045,380.0,8900,0.04269662921348315,128
16046,56.95,67,0.8500000000000001,4
16048,186.83999999999992,1437,0.13002087682672228,29
16049,82.08,504,0.16285714285714287,100
16052,105.28999999999999,467,0.22546038543897215,77
16054,82.56,688,0.12000000000000001,40
16151A,61.25,49,1.25,16
16156L,199.5,475,0.42,26
16156S,2331.0,5800,0.4018965517241379,34
16161G,70.0,700,0.1,31
16161M,10.5,25,0.42,25
16161P,1867.5,4475,0.4173184357541899,27
